Quelle est la couleur du soleil ?;jaune;vert;bleu;violet;A;Le soleil est très très chaud;chimiste;pierre-graine-tubercule-rhizome-légume;0
Quelle est la couleur de la lune ?;jaune;vert;blanc;jaune;C;La lune est très très froide;mathématicien;pierre-graine-tubercule-rhizome-légume;0
Quelle est la couleur de hubble ?;jaune;vert;bleu;satellite;D;Hubble est très très loin;dinosaure;pierre-graine-tubercule-rhizome-légume;0
Quel gaz constitue la majorité de l'atmosphère?;Dioxyde de carbone;Oxygène;Azote;Helium;C;L'atmosphère est divisée en plusieurs couches, nous vivons dans la troposphère qui s'étend de la surface à 15km d'altitude;chimiste;pierre-graine-tubercule-rhizome-légume;0
Quel théorème permet de calculer la longeur du côté d'un triangle rectangle en fonction des deux autres?;Thalès;Aristote;Eratosthène;Pythagore;D;Phytagore était également réformateur religieux, philosophe et thaumaturge;mathématicien;pierre-graine-tubercule-rhizome-légume;0
Quel est l'opérateur de division?;/;x;-;+;A;Une division euclidienne est la division d'un dividende par un diviseur de laquelle résulte un quotient et un reste tous deux entiers;mathématicien;pierre-graine-tubercule-rhizome-légume;0
Quel dinosaure était capable de voler?;Tyrannosaure;Ptérodactyle;Diplodocus;Mégalodon;B;Ptérodactyle veut dire doigt-ailé du grec pteron (aile) et dactylus (doigt);dinosaure;pierre-graine-tubercule-rhizome-légume;0
Sur quel continent se trouve l'Australie?;Océanie;Asie;Europe;Antarctique;A;Le continent australien faisait partie du sud du supercontinent Gondwana jusqu'à ce que la plaque se mette à dériver vers le nord il y a environ 96 millions d'années.;géographe;pierre-graine-tubercule-rhizome-légume;0
Quelle est la capitale de l'Allemagne?;Varsovie;Dublin;Cologne;Berlin;D;L'Allemagne est le pays européen le plus peuplé (en dehors de la Russie), avec une population de 82 millions.;géographe;pierre-graine-tubercule-rhizome-légume;0
Quel est l'océan qui sépare l'Europe de l'Amérique?;Indien;Pacifique;Atlantique;Austral;C;Les grecs appelaient les montagnes bordant le détroit de Gibraltar Colonnes d'Heraclès;géographe;pierre-graine-tubercule-rhizome-légume;0
Quel dinosaure avait 3 cornes sur la tête?;Brontosaure;Archéopteryx;Tricératops;Iguanodon;C;Le tricératops était une proie du Tyrannosaure;dinosaure;pierre-graine-tubercule-rhizome-légume;0
Comment appelle-t-on un triangle ayant 3 côtés de même longeur?;Isocèle;Équilatéral;Rectangle;Carré;B;Trois des 5 solides de Platon sont constitués de triangles équilatéraux;mathématicien;pierre-graine-tubercule-rhizome-légume;0
Quel est l'élément chimique dont le signe est O?;Or;Oxygène;Osmium;Ortolan;B;La molécule d’eau est composée d’un atome d’oxygène et de deux atomes d’hydrogène;chimiste;pierre-graine-tubercule-rhizome-légume;0
